report_year	source_file	metric_canon	metric_raw	dim_type	period	data_years	scope	pages	note
2026q2	2026q2.pdf	CVC / corporate investment	CVC+CORPORATES — H1	investor_type	H1	2026	all	14	Future of Mobility Fund tek yeni CVC
2026q2	2026q2.pdf	VC fundraising (fund formation)	VC FUNDRAISING (VCIF + Traditional) — historical FY	none	FY	2021-2025	all	15,16	traditional VC 2022-2026 dağılımı
2026q2	2026q2.pdf	VC fundraising (fund formation)	VC FUNDRAISING — H1	none	H1	2026	all	15,16	54 yeni VCIF, 602 aktif; traditional lull; Sanayi Bak. yeni tahsis
2026q2	2026q2.pdf	Equity crowdfunding deals	EQUITY BASED CROWDFUNDING — historical FY	none	FY	2021-2025	all	17	
2026q2	2026q2.pdf	Equity crowdfunding deals	EQUITY BASED CROWDFUNDING — H1	none	H1	2026	all	17	
2026q2	2026q2.pdf	Angel investors/networks	ANGEL INVESTORS AND ANGEL NETWORKS — historical FY	investor_type	FY	2021-2025	all	18	NEW metrik; lisanslı melek + akredite ağlar
2026q2	2026q2.pdf	Angel investors/networks	ANGEL NETWORKS PARTICIPATION IN DEALS — H1	investor_type	H1	2026	all	18	% of deal count
2026q2	2026q2.pdf	Acquisitions & secondary	ACQUISITIONS & SECONDARY IN TURKIYE — historical FY	none	FY	2021-2025	all	19	
2026q2	2026q2.pdf	Acquisitions & secondary	ACQUISITIONS & SECONDARY — H1	none	H1	2026	all	19	$1.1B; Uber/GetirYemek, Insider One/Bluecore, Loom Games
2026q2	2026q2.pdf	Country comparison	DEALS LEAGUE 2026-H1 + COUNTRY COMPARISON + AI DOMINANCE	country	H1	2026	all	9-13	p9 çeyreklik 2025Q4-2026Q2; Germany AI $5.6B
